iter	Passed	Remaining
0	149	149591
1	150	75225
2	152	50559
3	153	38238
4	154	30800
5	156	26001
6	158	22434
7	159	19757
8	160	17652
9	161	15960
10	162	14617
11	163	13484
12	164	12517
13	165	11684
14	166	10963
15	168	10356
16	169	9827
17	171	9336
18	172	8889
19	173	8515
20	174	8153
21	175	7817
22	176	7516
23	178	7248
24	179	6992
25	180	6754
26	181	6534
27	182	6330
28	184	6163
29	185	5989
30	186	5825
31	187	5675
32	188	5531
33	189	5397
34	191	5266
35	192	5143
36	193	5027
37	194	4918
38	195	4807
39	196	4707
40	197	4614
41	198	4524
42	199	4445
43	200	4362
44	201	4284
45	203	4212
46	204	4146
47	205	4075
48	206	4006
49	207	3944
50	208	3884
51	209	3824
52	210	3766
53	211	3709
54	212	3652
55	213	3601
56	214	3553
57	215	3503
58	216	3454
59	217	3406
60	218	3362
61	219	3320
62	220	3280
63	221	3240
64	222	3200
65	223	3166
66	225	3133
67	226	3098
68	227	3065
69	228	3030
70	229	2998
71	230	2965
72	231	2934
73	232	2903
74	232	2873
75	234	2846
76	234	2816
77	235	2789
78	236	2761
79	237	2734
80	238	2707
81	239	2682
82	240	2653
83	241	2630
84	242	2606
85	243	2582
86	243	2559
87	244	2537
88	245	2515
89	246	2494
90	247	2473
91	248	2452
92	249	2431
93	250	2418
94	252	2403
95	253	2386
96	254	2368
97	255	2350
98	256	2335
99	257	2318
100	258	2301
101	259	2286
102	260	2269
103	261	2256
104	262	2241
105	263	2225
106	265	2211
107	266	2198
108	267	2184
109	268	2171
110	269	2157
111	270	2143
112	271	2129
113	272	2117
114	273	2103
115	274	2089
116	274	2074
117	275	2060
118	276	2049
119	278	2040
120	279	2028
121	280	2015
122	280	2003
123	281	1991
124	282	1980
125	284	1971
126	284	1958
127	285	1947
128	286	1936
129	287	1926
130	289	1917
131	289	1906
132	291	1896
133	291	1887
134	293	1877
135	294	1869
136	295	1860
137	296	1850
138	297	1841
139	298	1831
140	299	1823
141	299	1812
142	300	1802
143	301	1793
144	302	1784
145	303	1776
146	305	1771
